Team,CONF,GP,PPG,FGM,FGA,FG%,FTM,FTA,FT%,3PTM,3PTA
Duke,ACC,39,79.3,1099,2191,50.2,610,873,69.9,283,732
Notre Dame,ACC,38,78.0,1050,2061,50.9,561,756,74.2,302,775
North Carolina,ACC,38,77.7,1099,2309,47.6,571,814,70.1,184,514
NC State,ACC,36,70.1,895,2054,43.6,499,727,68.6,236,661
Louisville,ACC,36,69.0,878,2048,42.9,529,792,66.8,198,644
Wake Forest,ACC,32,69.0,762,1809,42.1,479,751,63.8,206,614
Miami (Fla.),ACC,38,68.2,878,2053,42.8,544,729,74.6,292,816
Syracuse,ACC,31,67.6,763,1775,43,415,629,66,155,515
Pittsburgh,ACC,34,67.0,835,1866,44.7,445,650,68.5,164,484
Florida State,ACC,33,66.6,763,1669,45.7,524,783,66.9,147,470
Boston College,ACC,32,65.8,743,1668,44.5,412,584,70.5,207,638
Virginia,ACC,34,65.4,804,1758,45.7,446,614,72.6,170,483
Virginia Tech,ACC,33,65.3,779,1747,44.6,357,558,64,241,619
Georgia Tech,ACC,31,63.3,734,1800,40.8,363,560,64.8,131,491
Clemson,ACC,31,62.7,689,1685,40.9,395,579,68.2,171,572
