Player,Pos,Team,Avg,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,OBP,SLG
Daniel Castro,SS,ATL,1.000,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000
Sugar Ray Marimon,RP,ATL,.500,2,0,1,0,0,0,0,0,0,0,1,.500,.500
Pedro Ciriaco,3B,ATL,.314,51,6,16,5,1,0,10,1,0,0,8,.315,.451
Freddie Freeman,1B,ATL,.299,254,43,76,20,0,12,41,3,1,26,63,.367,.520
Nick Markakis,RF,ATL,.299,284,32,85,16,0,0,22,1,0,39,41,.386,.356
Eury Perez,LF,ATL,.296,27,1,8,1,0,0,1,0,0,0,5,.321,.333
Cameron Maybin,CF,ATL,.286,227,29,65,8,0,6,36,13,4,25,45,.358,.401
Juan Uribe,3B,ATL,.274,175,17,48,6,0,4,15,2,0,14,32,.330,.377
Andrelton Simmons,SS,ATL,.271,277,43,75,14,2,3,28,1,1,17,19,.327,.368
A.J. Pierzynski,C,ATL,.268,179,23,48,11,1,4,24,0,1,9,19,.309,.408
Jace Peterson,2B,ATL,.267,251,28,67,13,3,2,34,8,8,31,52,.346,.367
Kelly Johnson,LF,ATL,.265,132,13,35,4,0,6,22,0,1,7,30,.300,.432
Todd Cunningham,LF,ATL,.239,71,9,17,4,0,0,4,2,1,4,14,.299,.296
Joey Terdoslavich,LF,ATL,.235,17,2,4,0,0,1,1,0,0,1,3,.278,.412
Chris Johnson,3B,ATL,.230,87,8,20,5,0,1,7,1,1,6,28,.277,.322
Trevor Cahill,RP,ATL,.200,5,0,1,0,0,0,0,0,0,0,2,.200,.200
Christian Bethancourt,C,ATL,.198,101,12,20,6,0,1,9,1,0,3,18,.221,.287
Jonny Gomes,LF,ATL,.197,127,18,25,5,0,3,11,1,0,15,46,.293,.307
Eric Young,CF,ATL,.169,77,7,13,4,2,0,5,3,0,6,17,.229,.273
Alex Wood,SP,ATL,.167,24,0,4,0,0,0,4,0,0,1,15,.200,.167
Williams Perez,SP,ATL,.154,13,1,2,0,0,0,0,0,0,1,6,.214,.154
Ryan Lavarnway,C,ATL,.139,36,2,5,2,0,0,1,0,0,5,8,.244,.194
Mike Foltynewicz,SP,ATL,.100,20,0,2,1,0,0,3,0,0,0,14,.095,.150
Eric Stults,SP,ATL,.077,13,0,1,0,0,0,0,0,0,0,7,.077,.077
Julio Teheran,SP,ATL,.077,26,0,2,0,0,0,2,0,0,0,3,.077,.077
Shelby Miller,SP,ATL,.038,26,1,1,1,0,0,0,0,0,1,14,.074,.077
David Aardsma,RP,ATL,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Luis Avilan,RP,ATL,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Brandon Cunniff,RP,ATL,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Dana Eveland,RP,ATL,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
