Player,Pos,Team,Avg,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,OBP,SLG
Carter Capps,RP,MIA,.500,2,0,1,0,0,0,0,0,0,0,1,.500,.500
Dee Gordon,2B,MIA,.352,301,38,106,15,3,0,17,25,9,10,48,.373,.422
Henderson Alvarez,SP,MIA,.333,6,1,2,1,0,0,1,0,0,0,1,.333,.500
Derek Dietrich,2B,MIA,.321,28,5,9,3,0,3,5,0,0,2,7,.406,.750
Mat Latos,SP,MIA,.308,13,0,4,0,0,0,1,0,0,0,4,.308,.308
Adeiny Hechavarria,SS,MIA,.285,253,32,72,11,3,3,29,2,1,14,43,.322,.387
Ichiro Suzuki,LF,MIA,.278,151,16,42,0,2,1,11,6,4,12,18,.329,.325
Marcell Ozuna,CF,MIA,.275,265,27,73,14,0,4,26,1,1,20,61,.329,.374
Martin Prado,3B,MIA,.272,254,24,69,11,1,4,24,0,0,12,33,.311,.370
Giancarlo Stanton,RF,MIA,.268,272,47,73,12,1,27,67,4,2,33,91,.348,.618
Justin Bour,1B,MIA,.258,120,11,31,4,0,6,13,0,0,13,28,.336,.442
Jeff Baker,1B,MIA,.237,59,11,14,3,0,3,7,0,0,8,19,.328,.441
Christian Yelich,LF,MIA,.235,200,23,47,5,1,4,15,5,1,18,55,.301,.330
J.T. Realmuto,C,MIA,.231,199,21,46,9,4,3,18,2,0,8,30,.258,.362
Michael Morse,1B,MIA,.211,128,4,27,4,0,2,10,0,0,8,39,.268,.289
Brad Hand,RP,MIA,.200,5,1,1,0,0,0,0,0,0,0,3,.200,.200
Jeff Mathis,C,MIA,.185,27,1,5,1,0,0,3,0,0,1,8,.207,.222
Donovan Solano,3B,MIA,.155,58,5,9,2,1,0,5,0,0,1,11,.183,.224
Dan Haren,SP,MIA,.130,23,2,3,1,0,0,2,0,0,1,9,.167,.174
Jose Urena,RP,MIA,.100,10,0,1,0,0,0,0,0,0,0,7,.100,.100
Jarred Cosart,SP,MIA,.083,12,0,1,0,0,0,1,0,0,0,6,.083,.083
Reid Brignac,SS,MIA,.077,13,2,1,0,0,0,0,0,0,3,5,.250,.077
Jhonatan Solano,C,MIA,.050,20,1,1,1,0,0,2,0,0,1,1,.095,.100
Tom Koehler,SP,MIA,.048,21,0,1,0,0,0,1,0,0,0,12,.048,.048
David Phelps,SP,MIA,.043,23,0,1,0,0,0,0,0,0,0,11,.083,.043
Steve Cishek,RP,MIA,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Adam Conley,RP,MIA,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Mike Dunn,RP,MIA,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Sam Dyson,RP,MIA,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Kendry Flores,SP,MIA,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
