Player,Pos,Team,Avg,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,OBP,SLG
David Wright,3B,NYM,.333,33,3,11,0,0,1,4,2,0,2,5,.371,.424
Travis d'Arnaud,C,NYM,.296,71,11,21,3,1,4,17,0,0,3,11,.338,.535
Daniel Murphy,2B,NYM,.283,198,16,56,14,0,4,29,1,2,15,16,.335,.414
Lucas Duda,1B,NYM,.262,260,37,68,20,0,10,32,0,0,33,71,.364,.454
Juan Lagares,CF,NYM,.258,275,30,71,8,3,3,20,5,2,10,55,.286,.342
Ruben Tejada,3B,NYM,.256,133,13,34,13,0,1,12,1,0,13,27,.333,.376
Curtis Granderson,RF,NYM,.255,267,42,68,11,0,13,25,5,2,39,72,.354,.442
Darrell Ceciliani,CF,NYM,.250,52,4,13,2,0,1,3,4,1,4,19,.328,.346
Noah Syndergaard,SP,NYM,.250,16,1,4,0,0,1,1,0,0,0,10,.250,.438
Michael Cuddyer,LF,NYM,.249,257,30,64,12,1,6,28,0,0,18,64,.303,.374
Wilmer Flores,SS,NYM,.241,249,30,60,10,0,10,33,0,0,9,34,.274,.402
Kevin Plawecki,C,NYM,.223,130,9,29,5,0,2,14,0,0,8,32,.275,.308
Jonathon Niese,SP,NYM,.208,24,3,5,1,0,0,2,0,0,2,9,.269,.250
Dilson Herrera,2B,NYM,.200,80,4,16,2,1,2,4,2,0,8,22,.289,.325
John Mayberry,LF,NYM,.184,76,6,14,3,1,3,9,1,0,7,21,.253,.368
Jacob deGrom,SP,NYM,.176,34,2,6,0,0,0,1,0,0,0,8,.176,.176
Eric Campbell,3B,NYM,.172,128,15,22,6,0,2,12,4,1,15,26,.265,.266
Bartolo Colon,SP,NYM,.143,28,0,4,1,0,0,3,0,0,0,12,.138,.179
Anthony Recker,C,NYM,.143,49,6,7,0,0,2,3,1,0,8,20,.276,.265
Dillon Gee,SP,NYM,.100,10,0,1,0,0,0,0,0,0,0,5,.100,.100
Matt Harvey,SP,NYM,.100,30,0,3,1,0,0,1,0,0,0,12,.100,.133
Johnny Monell,C,NYM,.100,20,1,2,1,0,0,2,0,0,1,4,.143,.150
Kirk Nieuwenhuis,LF,NYM,.100,60,7,6,4,0,0,3,2,1,4,26,.156,.167
Danny Muno,2B,NYM,.083,24,2,2,0,0,0,0,1,0,3,10,.185,.083
Jerry Blevins,RP,NYM,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Buddy Carlyle,RP,NYM,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Jeurys Familia,RP,NYM,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Sean Gilmartin,RP,NYM,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Erik Goeddel,RP,NYM,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Jack Leathersich,RP,NYM,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
