Team,CONF,GP,PPG,FGM,FGA,FG%,FTM,FTA,FT%,3PTM,3PTA
Lafayette,PAT,33,73.5,872,1799,48.5,421,549,76.7,261,640
Army,PAT,30,72.1,779,1768,44.1,379,557,68,227,697
Bucknell,PAT,34,68.8,800,1828,43.8,506,726,69.7,233,605
Lehigh,PAT,30,68.1,724,1640,44.1,430,593,72.5,164,475
Boston University,PAT,30,67.9,668,1498,44.6,469,674,69.6,232,631
Colgate,PAT,33,66.0,804,1661,48.4,316,453,69.8,253,649
Holy Cross,PAT,30,66.0,692,1643,42.1,406,568,71.5,189,557
Navy,PAT,32,61.0,719,1637,43.9,344,513,67.1,170,518
Loyola-Maryland,PAT,30,58.8,607,1591,38.2,402,599,67.1,148,456
American,PAT,33,58.7,683,1479,46.2,359,509,70.5,213,571
