Player,Pos,Team,Avg,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,OBP,SLG
Kevin Correia,SP,PHI,.333,3,0,1,0,0,0,0,0,0,0,0,.333,.333
Maikel Franco,3B,PHI,.311,148,23,46,9,1,10,29,1,0,9,23,.358,.588
Ben Revere,LF,PHI,.292,288,39,84,11,6,0,18,18,4,15,30,.329,.372
Andres Blanco,SS,PHI,.279,61,5,17,8,1,2,9,0,1,5,9,.343,.541
Cameron Rupp,C,PHI,.261,88,5,23,4,1,1,6,0,0,8,28,.327,.364
Freddy Galvis,SS,PHI,.257,245,27,63,5,1,2,16,5,0,14,42,.303,.310
Jeff Francoeur,RF,PHI,.253,154,13,39,9,1,4,21,0,1,7,28,.287,.403
Odubel Herrera,CF,PHI,.248,214,21,53,14,2,2,17,8,2,9,59,.280,.360
Grady Sizemore,RF,PHI,.245,98,4,24,5,0,0,6,0,0,6,23,.288,.296
Cesar Hernandez,2B,PHI,.242,132,22,32,9,0,1,15,3,3,19,23,.344,.333
Cody Asche,3B,PHI,.235,187,12,44,8,1,3,9,0,0,9,49,.269,.337
Darin Ruf,1B,PHI,.235,102,9,24,6,0,3,10,0,0,6,25,.279,.382
Ryan Howard,1B,PHI,.231,251,25,58,17,1,13,36,0,0,12,75,.271,.462
Carlos Ruiz,C,PHI,.222,167,11,37,6,0,0,11,0,1,15,25,.290,.257
Chad Billingsley,SP,PHI,.200,5,1,1,0,0,1,1,0,0,0,1,.200,.800
Chase Utley,2B,PHI,.179,218,18,39,7,1,4,25,3,0,21,32,.257,.275
Domonic Brown,RF,PHI,.171,35,4,6,2,0,0,2,0,0,7,4,.310,.229
David Buchanan,SP,PHI,.167,6,0,1,1,0,0,0,0,0,0,2,.167,.333
Aaron Harang,SP,PHI,.160,25,2,4,1,0,0,0,0,0,1,9,.192,.200
Cole Hamels,SP,PHI,.143,28,1,4,0,0,0,0,0,0,0,12,.143,.143
Jerome Williams,SP,PHI,.095,21,0,2,1,0,0,1,0,0,1,9,.136,.143
Sean O'Sullivan,SP,PHI,.067,15,1,1,0,0,0,0,0,0,1,7,.125,.067
Elvis Araujo,RP,PHI,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Phillippe Aumont,RP,PHI,.000,0,0,0,0,0,0,0,0,0,1,0,1.000,.000
Justin De Fratus,RP,PHI,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Jake Diekman,RP,PHI,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Luis Garcia,RP,PHI,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Ken Giles,RP,PHI,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Jeanmar Gomez,RP,PHI,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Severino Gonzalez,SP,PHI,.000,5,1,0,0,0,0,0,0,0,1,3,.167,.000
