Player,Team,Avg,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,OBP,SLG,OPS
Paul Goldschmidt,ARI,.363,234,50,85,15,1,19,54,10,4,53,54,.481,.679,1.160
Dee Gordon,MIA,.352,273,35,96,13,2,0,17,22,9,10,44,.374,.414,.788
Prince Fielder,TEX,.344,256,34,88,14,0,11,47,0,0,21,32,.406,.527,.933
Bryce Harper,WAS,.344,215,49,74,14,1,22,52,3,4,54,54,.478,.726,1.204
Miguel Cabrera,DET,.342,234,38,80,13,1,15,51,1,1,43,46,.446,.598,1.044
Jason Kipnis,CLE,.333,255,44,85,19,4,5,28,10,5,29,40,.408,.498,.906
DJ LeMahieu,COL,.330,233,31,77,10,2,3,31,7,3,17,41,.376,.429,.805
Mike Moustakas,KC,.323,229,36,74,12,1,6,23,1,2,14,28,.378,.463,.841
Nori Aoki,SF,.317,252,31,80,8,2,2,18,12,5,23,17,.384,.389,.773
Yunel Escobar,WAS,.316,231,31,73,7,1,3,21,1,2,17,35,.370,.394,.764
Joe Panik,SF,.311,241,34,75,15,2,6,25,2,1,24,32,.378,.465,.843
Jhonny Peralta,STL,.311,241,30,75,16,0,10,35,1,1,23,49,.371,.502,.873
A.J. Pollock,ARI,.310,248,43,77,13,2,8,31,14,4,17,46,.352,.476,.828
Nelson Cruz,SEA,.309,246,34,76,7,1,18,41,1,2,22,68,.368,.565,.933
Dustin Pedroia,BOS,.307,264,31,81,11,0,9,27,1,1,26,36,.369,.451,.820
Anthony Rizzo,CHC,.306,232,37,71,20,2,12,39,10,5,34,35,.422,.565,.987
Josh Donaldson,TOR,.305,266,54,81,16,0,17,45,3,0,23,54,.361,.556,.917
Troy Tulowitzki,COL,.304,217,33,66,18,0,7,34,0,0,11,49,.335,.484,.819
Matt Holliday,STL,.303,178,20,54,10,1,3,26,2,1,33,39,.417,.421,.838
Josh Reddick,OAK,.303,228,32,69,10,3,10,41,3,1,24,23,.369,.504,.873
Denard Span,WAS,.303,188,28,57,13,0,5,20,6,0,15,18,.351,.452,.803
Michael Brantley,CLE,.302,212,26,64,20,0,4,34,7,1,29,16,.381,.453,.834
Yoenis Cespedes,DET,.302,252,36,76,19,1,9,35,3,4,14,58,.335,.492,.827
Adam Jones,BAL,.301,239,35,72,10,3,10,33,3,1,12,36,.342,.494,.836
Nick Markakis,ATL,.301,249,30,75,16,0,0,21,1,0,37,36,.394,.365,.759
Adrian Gonzalez,LAD,.300,240,37,72,22,0,11,43,0,1,28,42,.379,.529,.908
Adeiny Hechavarria,MIA,.300,233,32,70,11,3,3,28,2,1,11,39,.332,.412,.744
Freddie Freeman,ATL,.299,254,43,76,20,0,12,41,3,1,26,63,.367,.520,.887
Jimmy Paredes,BAL,.299,194,27,58,9,2,7,30,3,0,8,52,.324,.474,.798
Joey Votto,CIN,.298,235,34,70,13,2,14,36,5,2,38,51,.398,.549,.947
