PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS
Dee Gordon,MIA,317,39,112,16,3,0,17,26,11,10,51,.353,.373,.423,.795
Paul Goldschmidt,ARI,269,54,94,16,1,20,62,13,4,59,61,.349,.465,.639,1.104
Bryce Harper,WSH,239,53,81,16,1,24,58,3,4,55,59,.339,.465,.715,1.180
Yunel Escobar,WSH,262,37,85,10,1,4,27,1,2,18,37,.324,.376,.416,.792
Nori Aoki,SF,262,33,83,8,2,2,19,12,5,23,17,.317,.383,.385,.768
Troy Tulowitzki,COL,252,40,79,18,0,8,41,0,0,14,56,.313,.347,.480,.827
Joe Panik,SF,281,39,87,20,2,6,30,3,2,30,37,.310,.379,.459,.838
DJ LeMahieu,COL,269,39,83,10,2,4,33,10,3,23,47,.309,.363,.405,.768
Denard Span,WSH,220,36,67,15,0,5,21,8,0,20,22,.305,.360,.441,.800
Anthony Rizzo,CHC,273,42,83,23,2,15,44,11,5,38,39,.304,.413,.568,.981
Jhonny Peralta,STL,277,34,84,18,0,11,40,1,1,26,55,.303,.362,.487,.849
Adrian Gonzalez,LAD,281,40,85,23,0,13,48,0,1,30,48,.302,.375,.523,.898
Nick Markakis,ATL,287,32,86,16,0,0,23,1,0,40,42,.300,.387,.355,.743
Buster Posey,SF,267,39,80,13,0,11,53,1,0,33,26,.300,.376,.472,.848
Freddie Freeman,ATL,254,43,76,20,0,12,41,3,1,26,63,.299,.367,.520,.887
A.J. Pollock,ARI,285,48,85,15,2,9,35,15,5,20,52,.298,.342,.460,.802
Andrew McCutchen,PIT,265,40,78,20,2,9,44,4,2,33,48,.294,.383,.487,.869
Yadier Molina,STL,249,21,73,15,0,2,26,0,1,18,34,.293,.338,.378,.716
Nolan Arenado,COL,280,49,82,17,3,24,68,0,3,13,41,.293,.326,.632,.958
Adam Lind,MIL,247,28,72,17,0,11,39,0,0,28,52,.291,.362,.494,.856
Kolten Wong,STL,278,41,81,18,2,9,36,6,4,22,46,.291,.349,.468,.816
Todd Frazier,CIN,293,54,85,21,1,25,53,8,4,24,57,.290,.353,.625,.978
Gerardo Parra,MIL,231,29,67,17,2,5,21,5,0,10,44,.290,.318,.446,.764
Ben Revere,PHI,294,40,85,11,6,1,19,18,4,15,31,.289,.326,.378,.703
Howie Kendrick,LAD,281,36,81,14,1,6,32,2,2,20,54,.288,.338,.409,.747
Brandon Phillips,CIN,254,32,73,7,1,5,30,11,1,12,31,.287,.321,.382,.703
Ender Inciarte,ARI,251,39,72,11,2,2,21,9,5,8,30,.287,.316,.371,.686
Cameron Maybin,ATL,231,30,66,8,0,6,36,13,4,26,46,.286,.359,.398,.757
Joey Votto,CIN,268,39,76,13,2,14,36,5,2,48,60,.284,.394,.504,.898
Adeiny Hechavarria,MIA,269,34,76,11,3,4,31,2,1,14,48,.283,.318,.390,.709
Matt Carpenter,STL,258,43,72,21,1,8,37,1,2,39,60,.279,.376,.461,.837
Starling Marte,PIT,280,41,78,14,0,12,46,15,5,16,71,.279,.327,.457,.784
Josh Harrison,PIT,281,35,78,17,0,4,22,7,4,10,44,.278,.312,.381,.693
Jason Heyward,STL,256,37,71,15,0,9,28,8,1,17,48,.277,.322,.441,.764
Charlie Blackmon,COL,282,44,78,13,3,9,32,21,6,25,60,.277,.351,.440,.791
Brandon Crawford,SF,262,37,72,17,3,10,46,4,2,25,59,.275,.354,.477,.831
Kris Bryant,CHC,245,40,67,13,2,10,43,6,2,38,87,.273,.376,.465,.841
Justin Upton,SD,283,43,77,10,1,14,46,15,0,34,84,.272,.352,.463,.815
Martin Prado,MIA,254,24,69,11,1,4,24,0,0,12,33,.272,.311,.370,.681
Andrelton Simmons,ATL,280,43,76,14,2,3,28,1,1,18,19,.271,.329,.368,.697
Angel Pagan,SF,281,25,75,10,3,0,19,4,2,16,44,.267,.302,.324,.626
Jace Peterson,ATL,256,29,68,13,3,3,35,8,8,31,52,.266,.344,.375,.719
Giancarlo Stanton,MIA,279,47,74,12,1,27,67,4,2,34,95,.265,.346,.606,.952
Wilson Ramos,WSH,227,22,60,12,0,7,34,0,0,10,43,.264,.292,.410,.701
Marcell Ozuna,MIA,280,27,74,14,0,4,26,1,1,20,71,.264,.316,.357,.673
Brandon Belt,SF,246,34,65,18,3,9,32,2,2,26,76,.264,.338,.472,.810
Starlin Castro,CHC,296,25,77,6,1,5,35,4,3,11,50,.260,.292,.338,.630
Jean Segura,MIL,239,26,62,6,3,3,21,10,1,7,38,.259,.288,.347,.635
Lucas Duda,NYM,266,37,69,20,0,10,33,0,0,35,72,.259,.364,.447,.812
Curtis Granderson,NYM,274,42,71,12,0,13,27,5,2,40,72,.259,.357,.445,.803
Chris Coghlan,CHC,220,28,57,15,1,8,18,5,1,29,46,.259,.351,.445,.796
Juan Lagares,NYM,278,30,72,8,3,3,20,5,2,10,55,.259,.286,.342,.628
Ryan Braun,MIL,259,42,67,10,2,15,49,9,1,27,61,.259,.331,.486,.818
Neil Walker,PIT,249,29,64,18,0,4,23,2,0,20,52,.257,.326,.378,.704
Freddy Galvis,PHI,251,27,64,6,1,2,16,5,0,14,45,.255,.300,.311,.610
Danny Espinosa,WSH,219,35,55,12,1,8,22,2,2,23,55,.251,.331,.425,.755
Matt Kemp,SD,304,41,76,16,2,6,41,7,0,13,79,.250,.286,.375,.661
Carlos Gonzalez,COL,246,32,61,11,1,10,28,2,0,23,53,.248,.309,.423,.732
Derek Norris,SD,276,41,68,20,1,11,45,1,0,17,70,.246,.293,.446,.738
Michael Cuddyer,NYM,261,31,64,12,1,6,28,1,0,18,66,.245,.299,.368,.667
Pedro Alvarez,PIT,219,30,53,12,0,10,34,1,0,24,58,.242,.314,.434,.748
Joc Pederson,LAD,253,43,61,12,1,19,37,2,5,54,92,.241,.383,.522,.905
Jordy Mercer,PIT,217,17,52,12,0,2,17,2,1,13,35,.240,.288,.323,.610
Wilmer Flores,NYM,256,30,61,10,0,10,33,0,0,9,35,.238,.270,.395,.665
Jay Bruce,CIN,253,30,60,11,2,12,38,6,4,39,66,.237,.338,.439,.777
Dexter Fowler,CHC,283,49,67,11,4,8,22,11,4,30,71,.237,.312,.389,.701
Gregory Polanco,PIT,252,36,59,13,2,3,17,17,6,24,56,.234,.300,.337,.637
Chris Owings,ARI,244,29,56,11,3,2,18,9,1,8,66,.230,.252,.324,.576
Ryan Howard,PHI,258,25,59,17,1,13,36,0,0,13,79,.229,.270,.453,.724
Ian Desmond,WSH,289,33,65,17,0,7,23,2,2,15,85,.225,.269,.356,.626
Will Middlebrooks,SD,234,23,52,7,2,9,28,2,1,10,55,.222,.250,.385,.635
Billy Hamilton,CIN,250,34,55,3,3,3,19,36,6,15,45,.220,.264,.292,.556
Jimmy Rollins,LAD,270,32,57,10,1,7,21,6,6,20,46,.211,.265,.333,.598
Chase Utley,PHI,218,18,39,7,1,4,25,3,0,21,32,.179,.257,.275,.532
Prince Fielder,TEX,288,38,101,18,0,12,48,0,0,28,37,.351,.418,.538,.957
Miguel Cabrera,DET,263,42,92,16,1,15,53,1,1,49,53,.350,.454,.589,1.043
Jason Kipnis,CLE,292,49,100,24,4,5,31,10,5,35,46,.342,.418,.503,.922
Jose Iglesias,DET,212,16,70,6,2,1,11,9,5,16,21,.330,.384,.392,.775
Mike Moustakas,KC,264,38,85,16,1,7,31,1,2,17,33,.322,.375,.470,.844
Jimmy Paredes,BAL,221,34,71,12,2,9,36,3,2,11,59,.321,.350,.516,.866
