Rank,Player,Team,CONF,P,GP,PPG,FGM,FTM
1,Tyler Harvey,Eastern Washington,BSKY,G,32,23.1,230,150
2,Tyler Haws,Brigham Young,WCC,G,35,22.2,258,206
2,Zeek Woodley,Northwestern State,LAND,G/F,32,22.2,262,148
4,Denzel Livingston,Incarnate Word,LAND,G,29,21.5,190,198
5,Damion Lee,Drexel,COL,G,27,21.4,170,173
5,Saah Nimley,Charleston Southern,BSOU,G,31,21.4,183,187
7,Amere May,Delaware State,MEAC,G,32,21.0,227,128
8,Corey Hawkins,UC Davis,BIGW,G,28,20.9,188,129
9,D.J. Newbill,Penn State,BIG10,G,34,20.7,243,157
9,Joseph Young,Oregon,PAC12,G,36,20.7,265,124
11,Chavaughn Lewis,Marist,MAAC,G/F,29,20.6,203,149
12,Ty Greene,South Carolina Upstate,ASUN,G,35,20.3,232,142
13,Cameron Payne,Murray State,OVC,G,35,20.2,245,133
13,Jalen Riley,E. Tennessee State,SOUTH,G,29,20.2,165,177
15,D.J. Balentine,Evansville,MVC,G,36,20.1,245,159
15,A.J. English,Iona,MAAC,G,34,20.1,212,155
17,Marcus Thornton,William & Mary,COL,G,33,20.0,215,127
17,Jalan West,Northwestern State,LAND,G,32,20.0,193,169
19,David Laury,Iona,MAAC,F,34,19.8,244,159
20,LaDontae Henton,Providence,BIGE,F,34,19.7,230,145
20,R.J. Hunter,Georgia State,BELT,G,35,19.7,203,202
22,Chasson Randle,Stanford,PAC12,G,37,19.6,217,200
23,Olivier Hanlan,Boston College,ACC,G,32,19.5,225,110
24,Derrick Marks,Boise State,MWC,G,32,19.4,231,91
24,James Sinclair,Western Carolina,SOUTH,G,31,19.4,214,122
26,John Brown,High Point,BSOU,F,32,19.3,242,133
26,D'Angelo Russell,Ohio State,BIG10,G,35,19.3,231,118
28,Mikh McKinney,Sacramento State,BSKY,G,32,19.2,219,110
28,Andrew Rowsey,NC-Asheville,BSOU,G,31,19.2,177,140
30,Jeff Short,Norfolk State,MEAC,G,34,19.1,212,155
31,Brad Waldow,St. Mary's,WCC,F,31,19.0,235,120
32,Lawrence Alexander,North Dakota State,SUMM,G,33,18.9,203,114
32,Jerome Hill,Gardner-Webb,BSOU,F,34,18.9,211,216
34,Frank Kaminsky,Wisconsin,BIG10,F,39,18.8,267,156
35,Dyami Starks,Bryant University,NEA,G,31,18.6,187,105
35,Keifer Sykes,Green Bay,HORIZ,G,33,18.6,213,142
35,Corey Walden,Eastern Kentucky,OVC,G,32,18.6,198,147
38,KT Harrell,Auburn,SEC,G,35,18.5,194,162
38,Keon Moore,Winthrop,BSOU,G,32,18.5,188,116
40,Maodo Lo,Columbia,IVY,G,28,18.4,181,70
41,Craig Bradshaw,Belmont,OVC,G,30,18.3,197,74
41,Obi Emegano,Oral Roberts,SUMM,G,34,18.3,194,205
41,Ryan Harrow,Georgia State,BELT,G,29,18.3,208,71
41,Zaid Hearst,Quinnipiac,MAAC,G,30,18.3,197,115
45,Terran Petteway,Nebraska,BIG10,G/F,31,18.2,184,128
46,Kahlil Felder,Oakland,HORIZ,G,33,18.1,183,185
47,Ashton Moore,The Citadel,SOUTH,G,30,18.0,173,116
47,Evan Payne,Loyola Marymount,WCC,G,27,18.0,160,129
49,Ladarius Tabb,Alabama A&M,SWAC,G/F,28,17.9,190,75
50,DeAndre' Bembry,Saint Joseph's,ATL10,F,31,17.7,199,102
